facet,group,A,H,N,G,V,growthH,MAIh,growthG,MAIg,growthVt,MAIv,Dq,Dn,Dx,a,b,c,si,vtotal,vdlu_6cm,vdlu_8cm,vdlu_12cm,vdlu_16cm,vdlu_0cm
g2,5364,19,22.8739855,772.4376218,37.03992015,287.7512125,0.915853559,1.203893974,1.636024694,1.949469482,25.71837235,15.14480066,24.70918217,18.48170147,31.6259806,18.48170147,7.030083463,2.279897889,23.73871793,287.7512125,282.1359956,274.8077495,244.9818723,196.178871,287.7512125
g2,5364,20,23.73871793,767.6777663,38.50756584,312.4341526,0.86473243,1.186935896,1.467645686,1.925378292,24.68294009,15.62170763,25.27194172,18.8980762,32.14993577,18.8980762,7.196117928,2.251648189,23.73871793,312.4341526,306.1456957,298.0187665,266.735413,216.0059531,312.4341526
g2,5364,21,24.55412648,763.0569005,39.82019557,335.8506924,0.81540855,1.169244118,1.312629732,1.896199789,23.41653976,15.99289011,25.77675784,19.26993405,32.57458562,19.26993405,7.346817681,2.223609862,23.73871793,335.8506924,328.9965104,320.2705518,287.6643237,235.2501688,335.8506924
g2,5364,22,25.32213942,758.5709845,40.99100155,358.1064536,0.768012946,1.151006337,1.170805977,1.863227343,22.25576124,16.27756607,26.23017637,19.60235655,32.90781322,19.60235655,7.483808094,2.19586506,23.73871793,358.1064536,350.7512537,341.4787479,307.610807,253.6171941,358.1064536
g2,5364,23,26.04476766,754.2157842,42.03274759,379.5790228,0.722628233,1.132381202,1.041746046,1.827510765,21.47256917,16.50343577,26.63797093,19.89984803,33.15727567,19.89984803,7.608498801,2.168478471,23.73871793,379.5790228,371.7916208,362.0364818,327.0454776,271.6087159,379.5790228
g2,5364,24,26.72406612,749.9869456,42.95759476,399.6873515,0.679298462,1.113502755,0.924847167,1.789899782,20.10832868,16.65363965,27.00524898,20.16640945,33.33032775,20.16640945,7.722119583,2.141500342,23.73871793,399.6873515,391.4996323,381.3835682,345.4179679,288.6786108,399.6873515
g2,5364,25,27.36210323,745.880053,43.77699006,418.3891979,0.638037107,1.094484129,0.819395297,1.751079602,18.70184644,16.73556792,27.33653792,20.40559885,33.43396727,20.40559885,7.825748932,2.114968952,23.73871793,418.3891979,409.9031192,399.4165014,362.5666882,304.6377955,418.3891979
g2,5364,26,27.96093679,741.8906767,44.50160289,435.7290267,0.598833567,1.075420646,0.724612833,1.711600111,17.33982873,16.75880872,27.63585655,20.62058198,33.47479857,20.62058198,7.920337057,2.088912654,23.73871793,435.7290267,426.9897492,416.233593,378.5184121,319.4441248,435.7290267
g2,5364,27,28.52259524,738.0144103,45.14129721,451.7692005,0.561658451,1.056392416,0.639694315,1.671899897,16.04017379,16.73219261,27.90677532,20.8141757,33.45901135,20.8141757,8.006724598,2.063351578,23.73871793,451.7692005,442.8297393,431.8383452,393.3756985,333.3000083,451.7692005
g2,5364,28,29.04906314,734.2468999,45.70512995,466.6547481,0.526467898,1.037466541,0.563832744,1.63232607,14.88554766,16.666241,28.15246794,20.98888557,33.39237161,20.98888557,8.085658002,2.038299061,23.73871793,466.6547481,457.6040349,446.4575682,407.4725693,346.5839834,466.6547481
